COMBO_ID,LISTA_PRODUCTOS,DESCRIPCION,PRECIO,CANTIDAD_MINIMA,FECHA_ACTUALIZACION
aea350f4,"CAMP6080-Combo , CAMP7009-Combo , CAMP6595-Combo",Camperas de Cuero,130000,3,20/2/2026 21:43:26
81cb731d,,Remeras,0,3,
